,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
33,Hyundai,Elantra,2019,Saudi,Silver,2,1.6,0,0,Used,108650.0,Riyadh,43000.0,False
34,Chevrolet,Malibu,2013,Saudi,Black,1,3.0,0,0,Used,122455.0,Riyadh,36000.0,False
35,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,93762.0,Riyadh,26800.0,False
36,Toyota,Rav4,2020,Gulf Arabic,White,0,2.5,0,0,Used,15000.0,Dammam,111000.0,False
37,Mazda,CX9,2019,Saudi,Another Color,0,2.5,0,0,Used,89000.0,Riyadh,99000.0,False
38,Ford,Expedition,2013,Saudi,Black,2,5.4,0,0,Used,348000.0,Riyadh,50000.0,False
39,GMC,Yukon,2008,Saudi,Golden,0,5.3,0,0,Used,286000.0,Riyadh,48000.0,False
40,Toyota,Camry,2020,Saudi,Silver,2,2.5,1,0,Used,46000.0,Riyadh,75000.0,False
41,Lexus,ES,2015,Saudi,White,0,3.5,0,0,Used,85000.0,Riyadh,80000.0,False
42,Toyota,Land Cruiser,1993,Saudi,Bronze,1,1.5674798161793047,0,1,Used,400.0,Tabouk,12000.0,False
43,Kia,Cadenza,2017,Saudi,Another Color,2,3.5,0,0,Used,115000.0,Riyadh,55000.0,False
44,Hyundai,Tucson,2016,Saudi,White,1,2.0,0,0,Used,157000.0,Riyadh,50000.0,False
45,Hyundai,Tucson,2019,Saudi,Silver,1,2.0,0,0,Used,24000.0,Riyadh,68000.0,False
46,Genesis,Platinum,2015,Saudi,Another Color,1,3.5,0,0,Used,181000.0,Riyadh,70000.0,False
47,Genesis,G80,2019,Saudi,White,1,3.8,0,0,Used,84000.0,Riyadh,120000.0,False
48,Toyota,Prado,2016,Saudi,White,1,4.0,0,0,Used,201000.0,Riyadh,108000.0,False
49,GMC,Yukon,2009,Saudi,Golden,2,5.3,0,0,Used,395000.0,Riyadh,43000.0,False
50,Toyota,Rav4,2016,Saudi,White,0,2.5,0,0,Used,363000.0,Riyadh,58000.0,False
51,Hyundai,Accent,2020,Saudi,Another Color,2,1.4,0,0,Used,2000.0,Riyadh,42000.0,False
52,Lexus,ES,2013,Saudi,Black,0,3.5,0,0,Used,349000.0,Riyadh,70000.0,False
53,Hyundai,Sonata,2019,Saudi,Grey,1,2.4,0,0,Used,78000.0,Riyadh,62000.0,False
54,Genesis,G80,2018,Saudi,Another Color,1,3.8,0,0,Used,75000.0,Riyadh,110000.0,False
55,Honda,Accord,2016,Saudi,Another Color,0,3.5,0,0,Used,350000.0,Riyadh,50000.0,False
56,Genesis,G80,2018,Saudi,Another Color,1,3.8,0,0,Used,127000.0,Riyadh,93000.0,False
57,Lexus,LX,2015,Saudi,White,0,5.7,0,0,Used,247000.0,Riyadh,165000.0,False
58,Nissan,Patrol,2012,Saudi,White,1,5.6,0,0,Used,381000.0,Riyadh,75000.0,False
59,GMC,Yukon,2008,Saudi,Another Color,0,5.3,0,0,Used,382000.0,Riyadh,45000.0,False
61,Lexus,GX,2015,Saudi,White,0,4.6,0,0,Used,146000.0,Riyadh,126000.0,False
62,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,87537.0,Riyadh,26800.0,False
63,Nissan,Sunny,2019,Saudi,White,2,1.5,0,0,Used,99104.0,Riyadh,26800.0,False
64,Nissan,Sunny,2019,Saudi,Grey,2,1.5,0,0,Used,106007.0,Riyadh,26800.0,False
65,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,88564.0,Riyadh,26800.0,False
66,Hyundai,Azera,2016,Saudi,Grey,1,3.5,0,0,Used,166000.0,Riyadh,47000.0,False
67,Honda,Accord,2015,Saudi,Golden,1,2.4,0,0,Used,196000.0,Riyadh,59000.0,False
68,Genesis,G80,2018,Saudi,Silver,1,3.8,0,0,Used,70000.0,Riyadh,110000.0,False
69,Chevrolet,Tahoe,2014,Saudi,Brown,1,5.3,0,0,Used,382000.0,Riyadh,60000.0,False
70,Cadillac,CT-S,2010,Saudi,Another Color,0,3.6,0,0,Used,240000.0,Riyadh,32000.0,False
71,Toyota,Prado,2013,Saudi,Another Color,0,3.8,0,0,Used,108000.0,Riyadh,87000.0,False
72,Geely,EC7,2014,Saudi,Golden,0,1.5674798161793047,0,1,Used,161300.0,Riyadh,12000.0,False
73,MG,ZS,2019,Saudi,Black,1,1.5,0,0,Used,23000.0,Riyadh,47000.0,False
74,Lexus,ES,2019,Saudi,Another Color,0,1.5674798161793047,0,0,Used,26000.0,Jeddah,207000.0,False
75,Hyundai,Kona,2019,Saudi,Blue,2,2.0,0,0,Used,19000.0,Riyadh,59000.0,False
76,Jeep,Grand Cherokee,2014,Saudi,Black,0,5.7,0,0,Used,120000.0,Riyadh,85000.0,False
77,GMC,Yukon,2016,Gulf Arabic,White,1,1.5674798161793047,0,0,Used,63000.0,Riyadh,140000.0,False
79,Honda,Accord,2015,Gulf Arabic,Grey,2,2.4,0,0,Used,221000.0,Riyadh,48000.0,False
80,Mercedes,S,2006,Other,White,1,4.3,0,0,Used,235115.0,Riyadh,15000.0,False
81,INFINITI,M,2007,Saudi,Black,0,4.5,0,0,Used,303000.0,Riyadh,10000.0,False
82,Dodge,Charger,2018,Saudi,Another Color,0,5.7,0,0,Used,85000.0,Aseer,130000.0,False
83,Mercedes,S,2018,Saudi,Grey,0,1.5674798161793047,0,0,Used,73000.0,Riyadh,345000.0,False
84,Ford,Taurus,2018,Saudi,White,2,2.0,0,0,Used,82000.0,Riyadh,77000.0,False
85,Mercedes,E,2014,Gulf Arabic,White,2,2.0,0,0,Used,49000.0,Dammam,75000.0,False
88,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,105739.0,Riyadh,26800.0,False
89,Nissan,Sunny,2019,Saudi,White,2,1.5,0,0,Used,55526.0,Riyadh,27500.0,False
90,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,98659.0,Riyadh,27500.0,False
91,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,95623.0,Riyadh,27500.0,False
92,Hyundai,Elantra,2019,Saudi,Grey,1,1.6,0,0,Used,86000.0,Dammam,54000.0,False
93,Toyota,Yaris,2018,Saudi,White,2,1.5,0,0,Used,128000.0,Jeddah,32000.0,False
94,Nissan,Patrol,1992,Saudi,White,2,4.6,0,1,Used,357000.0,Dammam,27000.0,False
95,Ferrari,GTB 599 Fiorano,2008,Saudi,Red,0,6.0,0,0,Used,59000.0,Dammam,280000.0,False
97,Mercedes,CLA,2020,Other,Black,0,1.5674798161793047,0,0,Used,15000.0,Riyadh,410000.0,False
98,Mercedes,E,2017,Gulf Arabic,White,0,2.0,0,0,Used,98000.0,Dammam,210000.0,False
99,Hyundai,Accent,2019,Saudi,White,2,1.4,0,0,Used,101000.0,Jeddah,37000.0,False
100,Mazda,CX9,2017,Other,Grey,0,2.5,0,0,Used,93000.0,Dammam,111000.0,False
101,Genesis,Royal,2015,Saudi,Red,0,3.8,0,0,Used,194000.0,Riyadh,85000.0,False
102,Toyota,Corolla,2015,Saudi,Silver,2,1.6,0,0,Used,176277.0,Dammam,37000.0,False
103,Kia,Picanto,2015,Saudi,Another Color,2,1.0,0,0,Used,133000.0,Al-Medina,18500.0,False
104,Great Wall,Power,2021,Saudi,White,0,2.0,0,0,Used,4000.0,Al-Medina,95000.0,False
105,Nissan,Datsun,2015,Saudi,White,0,1.5674798161793047,0,1,Used,212000.0,Riyadh,42000.0,False
106,Jaguar,F-Pace,2018,Saudi,White,0,2.5,0,0,Used,70000.0,Jeddah,145000.0,False
107,Toyota,Hilux,2016,Saudi,White,0,2.7,0,1,Used,28000.0,Dammam,95000.0,False
108,Toyota,Furniture,2019,Saudi,White,2,2.7,0,0,Used,113000.0,Riyadh,105000.0,False
110,Ford,Expedition,2016,Saudi,White,0,3.5,0,0,Used,104000.0,Dammam,95000.0,False
111,Honda,Accord,2019,Gulf Arabic,Silver,0,1.5,0,0,Used,8200.0,Dammam,107000.0,False
112,Chevrolet,Suburban,2001,Other,Grey,1,1.5674798161793047,0,0,Used,500000.0,Riyadh,15000.0,False
113,Ford,Explorer,2016,Gulf Arabic,Red,0,1.5674798161793047,0,0,Used,93000.0,Riyadh,95000.0,False
117,Lexus,LX,2020,Gulf Arabic,Black,0,5.7,0,0,Used,27000.0,Riyadh,418000.0,False
118,Hyundai,Elantra,2019,Saudi,White,2,1.6,0,0,Used,120496.0,Riyadh,40800.0,False
119,Hyundai,Elantra,2019,Saudi,Silver,2,1.6,0,0,Used,120244.0,Riyadh,43000.0,False
120,Hyundai,Accent,2014,Saudi,Black,2,1.4,0,0,Used,101231.0,Riyadh,21500.0,False
121,Nissan,Sunny,2017,Saudi,White,2,1.5,0,0,Used,106646.0,Riyadh,22500.0,False
123,Ford,Expedition,2017,Gulf Arabic,White,0,1.5674798161793047,0,0,Used,34000.0,Riyadh,108000.0,False
124,Land Rover,Range Rover,2009,Saudi,Black,0,1.5674798161793047,0,0,Used,195000.0,Jeddah,45000.0,False
125,Hyundai,Elantra,2018,Saudi,Brown,1,1.6,0,0,Used,81000.0,Riyadh,44000.0,False
126,Hyundai,Sonata,2018,Saudi,Silver,1,2.4,0,0,Used,99000.0,Riyadh,62000.0,False
127,Dodge,Charger,2016,Saudi,Grey,2,1.0,0,0,Used,151000.0,Riyadh,69000.0,False
128,Kia,Cadenza,2018,Saudi,Brown,2,1.0,0,0,Used,74000.0,Riyadh,60000.0,False
129,Toyota,Furniture,2019,Saudi,White,0,3.5,0,0,Used,40000.0,Riyadh,120000.0,False
130,Hyundai,Accent,2018,Saudi,White,2,1.4,0,0,Used,78000.0,Riyadh,36000.0,False
131,Hyundai,Sonata,2013,Saudi,White,0,2.4,0,0,Used,205000.0,Riyadh,40000.0,False
132,Toyota,FJ,2013,Saudi,Bronze,0,1.0,0,0,Used,296000.0,Riyadh,79000.0,False
133,Kia,Cadenza,2017,Saudi,Grey,0,3.5,0,0,Used,179000.0,Riyadh,73000.0,False
134,Hyundai,Elantra,2018,Saudi,White,1,2.0,0,0,Used,88000.0,Riyadh,44000.0,False
135,Hyundai,Elantra,2018,Saudi,Grey,1,1.6,0,0,Used,96000.0,Riyadh,47000.0,False
136,Genesis,G80,2019,Saudi,Silver,1,3.8,0,0,Used,66000.0,Riyadh,120000.0,False
137,Hyundai,Sonata,2014,Saudi,White,1,2.4,0,0,Used,216000.0,Riyadh,41000.0,False
138,Toyota,Camry,2016,Saudi,White,0,1.0,0,0,Used,244000.0,Riyadh,59000.0,False
139,Genesis,Royal,2016,Saudi,White,0,3.8,0,0,Used,55000.0,Riyadh,95000.0,False
140,Toyota,FJ,2015,Saudi,White,0,1.0,0,0,Used,190000.0,Riyadh,98000.0,False
141,Hyundai,Senta fe,2018,Saudi,White,2,3.3,0,0,Used,41542.0,Riyadh,69000.0,False
142,Kia,Optima,2017,Saudi,Black,1,2.4,0,0,Used,245000.0,Riyadh,45000.0,False
143,Genesis,Royal,2018,Saudi,Grey,0,3.8,0,0,Used,78000.0,Riyadh,110000.0,False
144,Kia,Cadenza,2015,Saudi,Grey,2,3.5,0,0,Used,180000.0,Riyadh,57000.0,False
145,GAC,GS8,2020,Saudi,Blue,0,2.0,0,0,Used,29200.0,Jeddah,80000.0,False
146,Toyota,Furniture,2017,Saudi,White,1,1.5674798161793047,0,0,Used,400000.0,Riyadh,60000.0,False
147,Nissan,Sunny,2018,Saudi,White,2,1.5,0,0,Used,108708.0,Riyadh,24000.0,False
148,Nissan,Sunny,2018,Saudi,Silver,2,1.5,0,0,Used,124758.0,Riyadh,24000.0,False
149,Nissan,Sunny,2017,Saudi,Black,2,1.5,0,0,Used,158218.0,Riyadh,24500.0,False
150,Kia,Cadenza,2017,Saudi,Silver,2,3.3,0,0,Used,83000.0,Riyadh,50000.0,False
151,Nissan,Maxima,2017,Saudi,Grey,0,1.0,0,0,Used,860000.0,Riyadh,77000.0,False
152,Hyundai,Azera,2018,Saudi,Brown,1,3.5,0,0,Used,79000.0,Riyadh,75000.0,False
153,Genesis,G80,2018,Saudi,White,1,3.8,0,0,Used,97000.0,Riyadh,98000.0,False
154,Kia,Cadenza,2016,Saudi,White,2,3.3,0,0,Used,122000.0,Riyadh,50000.0,False
155,Hyundai,Azera,2017,Saudi,White,0,3.0,0,0,Used,168000.0,Riyadh,55000.0,False
156,Nissan,Maxima,2017,Saudi,Brown,1,1.0,0,0,Used,121000.0,Riyadh,64000.0,False
157,Toyota,Land Cruiser,2015,Saudi,White,0,1.0,0,0,Used,300000.0,Riyadh,135000.0,False
158,Chevrolet,Caprice,2015,Saudi,Black,2,6.0,0,0,Used,264000.0,Riyadh,69000.0,False
159,Dodge,Challenger,2017,Other,White,0,3.6,0,0,Used,113000.0,Dammam,99000.0,False
160,Honda,Accord,2018,Gulf Arabic,Golden,0,2.4,0,0,Used,75000.0,Dammam,92000.0,False
161,Lexus,ES,2016,Other,Bronze,1,3.5,0,0,Used,88000.0,Dammam,115000.0,False
162,Nissan,Datsun,2015,Saudi,White,1,2.0,0,1,Used,182000.0,Dammam,29000.0,False
163,Chevrolet,Camaro,2016,Other,Red,0,3.6,0,0,Used,94000.0,Dammam,106000.0,False
164,Genesis,G80,2020,Saudi,Grey,1,3.8,0,0,Used,11000.0,Riyadh,125000.0,False
165,Ford,Taurus,2018,Other,Black,0,1.5674798161793047,0,0,Used,100000.0,Dammam,89000.0,False
166,Ford,Taurus,2015,Other,Black,1,1.5674798161793047,0,0,Used,103000.0,Dammam,78000.0,False
167,Hyundai,Tucson,2019,Saudi,White,1,1.0,0,0,Used,67000.0,Riyadh,75000.0,False
168,Kia,Cadenza,2018,Saudi,Silver,2,3.3,0,0,Used,94000.0,Riyadh,55000.0,False
169,Hyundai,Elantra,2019,Saudi,Grey,2,2.0,0,0,Used,95000.0,Riyadh,52000.0,False
170,Hyundai,Accent,2017,Saudi,Grey,1,1.4,0,0,Used,147000.0,Riyadh,29000.0,False
171,Genesis,Royal,2016,Saudi,White,0,3.8,0,0,Used,140000.0,Riyadh,88000.0,False
172,GMC,Yukon,2016,Saudi,Bronze,0,6.2,0,0,Used,152000.0,Riyadh,122000.0,False
173,Toyota,Land Cruiser,2018,Gulf Arabic,Black,0,5.7,0,0,Used,61312.0,Riyadh,270000.0,False
174,Nissan,Sunny,2017,Saudi,Grey,2,1.5,0,0,Used,152973.0,Riyadh,24500.0,False
175,Renault,Symbol,2020,Saudi,White,2,1.6,0,0,Used,46505.0,Riyadh,26000.0,False
176,Renault,Fluence,2015,Saudi,Grey,1,1.6,0,0,Used,116633.0,Riyadh,25500.0,False
177,Nissan,Sunny,2018,Saudi,White,2,1.5,0,0,Used,90418.0,Riyadh,25500.0,False
178,Mazda,6,2019,Saudi,Brown,2,2.5,0,0,Used,129000.0,Riyadh,65000.0,False
179,Hyundai,Elantra,2014,Saudi,Grey,0,2.0,0,0,Used,119000.0,Riyadh,33000.0,False
180,Honda,Accord,2017,Saudi,White,1,2.5,0,0,Used,173000.0,Riyadh,68000.0,False
181,MG,RX5,2018,Saudi,White,0,3.0,0,0,Used,109000.0,Riyadh,49000.0,False
182,Toyota,Land Cruiser,2012,Saudi,Grey,0,1.0,0,0,Used,448000.0,Riyadh,109000.0,False
183,Ford,Taurus,2016,Saudi,Another Color,2,3.5,0,0,Used,136000.0,Riyadh,58000.0,False
184,Genesis,G80,2018,Saudi,Another Color,1,3.8,0,0,Used,97000.0,Riyadh,98000.0,False
185,Toyota,FJ,2015,Saudi,White,0,4.0,0,0,Used,259880.0,Riyadh,89000.0,False
186,Kia,Cadenza,2019,Saudi,Brown,2,3.3,0,0,Used,73000.0,Riyadh,65000.0,False
187,GMC,Yukon,2011,Saudi,Silver,1,1.0,0,0,Used,600000.0,Riyadh,36000.0,False
189,Hyundai,Kona,2019,Saudi,Grey,0,1.0,0,0,Used,22000.0,Riyadh,77000.0,False
190,Toyota,Avalon,2016,Other,White,1,3.5,0,0,Used,123000.0,Riyadh,93000.0,False
191,Dodge,Charger,2018,Saudi,Red,2,3.6,0,0,Used,79000.0,Riyadh,79000.0,False
192,Hyundai,Senta fe,2016,Saudi,Brown,1,3.3,0,0,Used,126000.0,Riyadh,63000.0,False
193,Toyota,FJ,2013,Saudi,Bronze,1,1.0,0,0,Used,154000.0,Riyadh,77000.0,False
194,Chrysler,C300,2017,Saudi,Grey,0,5.7,0,0,Used,130000.0,Riyadh,88000.0,False
195,Kia,Optima,2018,Saudi,Grey,2,2.4,0,0,Used,40000.0,Riyadh,55000.0,False
196,Hyundai,Azera,2016,Saudi,White,1,3.0,0,0,Used,130000.0,Riyadh,50000.0,False
197,Suzuki,APV,2016,Saudi,Black,2,1.5,0,1,Used,110000.0,Riyadh,29500.0,False
198,Honda,Accord,2016,Saudi,Brown,0,1.0,0,0,Used,116000.0,Riyadh,62000.0,False
199,Peugeot,3008,2018,Saudi,Brown,0,1.0,0,0,Used,30000.0,Riyadh,79000.0,False
200,Kia,Cadenza,2016,Saudi,White,2,3.3,0,0,Used,145000.0,Riyadh,63000.0,False
201,Cadillac,SRX,2016,Saudi,Black,0,1.5674798161793047,0,0,Used,83000.0,Riyadh,70000.0,False
202,Kia,Cerato,2019,Saudi,White,2,1.6,0,0,Used,43629.0,Jeddah,43500.0,False
203,Nissan,Sunny,2018,Saudi,Silver,2,1.5,0,0,Used,106036.0,Riyadh,25900.0,False
204,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,104688.0,Riyadh,26000.0,False
205,Nissan,Sunny,2019,Saudi,Grey,2,1.5,0,0,Used,86754.0,Riyadh,26000.0,False
206,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,105509.0,Riyadh,26000.0,False
207,Chevrolet,Traverse,2017,Saudi,Silver,1,2.4,0,0,Used,110000.0,Riyadh,49000.0,False
208,Honda,Accord,2017,Saudi,White,2,1.0,0,0,Used,63000.0,Riyadh,88000.0,False
209,Genesis,G80,2017,Saudi,Grey,1,3.8,0,0,Used,183000.0,Riyadh,85000.0,False
211,Honda,Accord,2012,Saudi,White,2,1.0,0,0,Used,251000.0,Riyadh,38000.0,False
212,Hyundai,Sonata,2018,Saudi,Red,2,2.5,0,0,Used,63000.0,Riyadh,58000.0,False
213,Kia,Optima,2016,Saudi,Black,1,2.4,0,0,Used,91000.0,Riyadh,45000.0,False
215,Hyundai,Sonata,2018,Saudi,Brown,2,1.0,0,0,Used,130000.0,Riyadh,50000.0,False
216,GMC,Sierra,2011,Other,Silver,1,1.5674798161793047,0,0,Used,258000.0,Riyadh,50000.0,False
217,Honda,Accord,2017,Saudi,Grey,1,1.0,0,0,Used,126000.0,Riyadh,75000.0,False
218,Mercedes,S,2007,Saudi,Black,0,3.5,0,0,Used,243000.0,Riyadh,45000.0,False
219,Ford,F150,2012,Saudi,Black,2,3.0,0,0,Used,352000.0,Riyadh,38000.0,False
220,Toyota,Land Cruiser,2003,Saudi,Golden,0,1.5674798161793047,0,0,Used,629000.0,Riyadh,40000.0,False
221,Nissan,Maxima,2017,Saudi,White,0,1.0,0,0,Used,135000.0,Riyadh,73000.0,False
222,Toyota,Land Cruiser,2014,Saudi,White,0,4.0,0,0,Used,210600.0,Riyadh,120000.0,False
223,Hyundai,Sonata,2016,Saudi,Brown,0,2.0,0,0,Used,104000.0,Riyadh,58000.0,False
224,Ford,Explorer,2016,Gulf Arabic,Silver,1,1.5674798161793047,0,0,Used,112000.0,Riyadh,83000.0,False
225,Hyundai,Genesis,2017,Other,Blue,2,3.8,0,0,Used,128000.0,Riyadh,83000.0,False
226,Toyota,Corolla,2015,Saudi,White,1,1.6,0,0,Used,370000.0,Riyadh,30000.0,False
227,Honda,Accord,2017,Saudi,Navy,1,2.4,0,0,Used,223000.0,Riyadh,75000.0,False
228,Kia,Cerato,2017,Saudi,White,2,1.6,0,0,Used,72000.0,Riyadh,37500.0,False
229,Ford,Taurus,2018,Saudi,White,2,2.0,0,0,Used,71000.0,Riyadh,77000.0,False
230,Lexus,NX,2017,Gulf Arabic,Black,0,2.0,0,0,Used,63000.0,Dammam,174000.0,False
231,Hyundai,Elantra,2019,Saudi,White,1,1.6,0,0,Used,59700.0,Dammam,54500.0,False
232,Hyundai,Senta fe,2020,Saudi,Grey,2,2.4,0,0,Used,93000.0,Riyadh,82000.0,False
233,Mercedes,C,2015,Saudi,Silver,1,2.0,0,0,Used,73000.0,Riyadh,90000.0,False
234,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,96341.0,Riyadh,26000.0,False
235,Nissan,Sunny,2019,Saudi,White,2,1.5,0,0,Used,87775.0,Riyadh,26000.0,False
236,Nissan,Sunny,2019,Saudi,White,2,1.5,0,0,Used,89136.0,Riyadh,26000.0,False
237,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,71913.0,Riyadh,26500.0,False
238,MG,RX5,2019,Saudi,White,0,1.5,0,0,Used,39000.0,Jeddah,56000.0,False
239,Genesis,G70,2019,Saudi,Grey,1,2.0,0,0,Used,11000.0,Riyadh,109000.0,False
240,Ford,Flex,2012,Saudi,Silver,1,3.5,0,0,Used,277000.0,Dammam,30000.0,False
241,GMC,Yukon,2015,Saudi,White,0,5.3,0,0,Used,200000.0,Dammam,150000.0,False
242,GMC,Yukon,2016,Other,White,0,6.2,0,0,Used,126000.0,Riyadh,176000.0,False
243,Mercedes,E,2021,Other,White,2,1.5674798161793047,0,0,Used,4000.0,Riyadh,259000.0,False
244,Lexus,UX,2019,Gulf Arabic,Blue,0,2.0,0,0,Used,7000.0,Dammam,165000.0,False
245,Toyota,Camry,2016,Saudi,White,1,2.5,0,0,Used,238000.0,Jeddah,48500.0,False
246,Mercedes,C,2016,Other,White,0,2.0,0,0,Used,84000.0,Dammam,129000.0,False
247,Land Rover,Range Rover,2019,Other,Black,2,1.5674798161793047,0,0,Used,1800.0,Riyadh,350000.0,False
248,Toyota,Yaris,2015,Saudi,White,2,1.4,0,0,Used,193000.0,Dammam,25000.0,False
249,Mercedes,S,2015,Other,Navy,0,3.0,0,0,Used,46000.0,Dammam,210000.0,False
250,Toyota,Dyna,1987,Saudi,White,2,1.5674798161793047,0,1,Used,1100000.0,Aseer,6000.0,False
251,Kia,Picanto,2015,Saudi,Another Color,2,1.0,0,0,Used,136000.0,Al-Medina,18500.0,False
252,GMC,Yukon,2008,Saudi,White,0,5.3,0,0,Used,200000.0,Jeddah,38000.0,False
253,Hyundai,Sonata,2018,Saudi,Grey,2,2.4,0,0,Used,55000.0,Riyadh,60000.0,False
255,Kia,Cores,2014,Saudi,White,0,3.5,0,0,Used,81000.0,Jeddah,78000.0,False
256,Honda,Accord,2018,Saudi,White,1,1.6,0,0,Used,32000.0,Jeddah,97000.0,False
257,Toyota,Camry,2017,Gulf Arabic,White,2,2.5,0,0,Used,97000.0,Dammam,68000.0,False
258,Chevrolet,Tahoe,2019,Saudi,Black,2,5.3,0,0,Used,117000.0,Riyadh,145000.0,False
259,Hyundai,Kona,2019,Saudi,Black,2,2.0,0,0,Used,76000.0,Jeddah,56000.0,False
260,Hyundai,Creta,2017,Saudi,Silver,1,1.6,0,0,Used,125000.0,Al-Ahsa,57000.0,False
262,Chevrolet,Impala,2018,Saudi,Silver,2,3.6,0,0,Used,75000.0,Riyadh,64000.0,False
263,GMC,Yukon,2011,Saudi,White,0,8.0,0,0,Used,200.0,Taef,70000.0,False
264,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,88795.0,Riyadh,26500.0,False
265,Kia,Rio,2016,Saudi,Grey,2,1.4,0,0,Used,272232.0,Riyadh,26500.0,False
266,Nissan,Sunny,2017,Saudi,White,2,1.5,0,0,Used,145161.0,Riyadh,27000.0,False
267,Nissan,Sunny,2018,Saudi,Grey,2,1.5,0,0,Used,117081.0,Riyadh,27000.0,False
268,Honda,Odyssey,2015,Saudi,Grey,2,3.5,0,0,Used,192000.0,Dammam,58000.0,False
269,Geely,EC8,2016,Saudi,Silver,0,1.5674798161793047,0,0,Used,80000.0,Aseer,22000.0,False
270,Mazda,6,2014,Other,Black,0,1.5674798161793047,0,1,Used,201000.0,Riyadh,42000.0,False
271,Toyota,Prado,2018,Gulf Arabic,White,1,4.0,0,0,Used,39000.0,Riyadh,131500.0,False
272,Nissan,Sylvian Bus,2018,Saudi,White,0,3.0,0,1,Used,3000.0,Riyadh,107000.0,False
273,Toyota,Prado,2018,Gulf Arabic,White,1,4.0,0,0,Used,86000.0,Riyadh,127000.0,False
274,Lexus,LX,2018,Saudi,White,0,1.0,0,0,Used,105000.0,Riyadh,355000.0,False
